Designator,Manufacturer Part Number or Seeed SKU,QTY,Link
"C1","CL10A106MA8NRNC","1",""
"C2,C25,C3","CL21A106KAYNNNE","3",""
"C10,C15,C16,C17,C20,C24,C28,C4,C5,C6,C7,C8,C9","CL10B104KB8NNNC","13",""
"C11","CL05B104KO5NNNC","1",""
"C12,C18","CL10C270JB8NNNC","2",""
"C13,C14","CL10A105KB8NNNC","2",""
"C29","CL10C470JB8NNNC","1",""
"D1","USBLC6-2SC6","1",""
"D2","SMF5.0A","1",""
"F1","SMD050F-2","1",""
"FB1","BLM18AG601SN1D","1",""
"J1","USB4105-GF-A","1",""
"J3","S2B-PH-K-S(LF)(SN)","1",""
"J4","FTSH-103-01-L-DV","1",""
"MK1","SPH0641LU4H-1","1",""
"R1,R2","0603WAF5101T5E","2",""
"R3,R4","0603WAF270JT5E","2",""
"R5,R6","0603WAF1001T5E","2",""
"R14,R15,R7,R8,R9","0603WAF1002T5E","5",""
"SW1,SW2","B3U-3000P","2",""
"SW3,SW4","TS-1088-AR02016","2",""
"U1","RP2040","1",""
"U2","W25Q16JVUXIQ","1",""
"U3","MAX98357AETE+T","1",""
"U5","MCP1825T-3302E/DC","1",""
"Y1","ABM8-272-T3","1",""
