Designator,Mid X,Mid Y,Layer,Rotation
C1,16.5mm,-16mm,Top,0
C2,-7.3mm,-16.8mm,Top,0
C3,-4.2mm,-16.8mm,Top,0
C4,-0.5mm,3mm,Top,90
C5,-0.5mm,0mm,Top,90
C6,-2.3mm,6.9mm,Top,0
C7,-11.5mm,3mm,Top,90
C8,-11.5mm,0mm,Top,90
C9,-3.4mm,-5mm,Top,0
C10,-6.2mm,-5mm,Top,0
C11,-6.45mm,6.95mm,Top,90
C12,-1.7mm,9mm,Top,0
C13,-9mm,-3.2mm,Top,0
C14,-6.2mm,-3.2mm,Top,0
C15,-3.4mm,-3.2mm,Top,0
C16,-9mm,-5mm,Top,0
C17,-18mm,-1.5mm,Top,90
C18,-10.2mm,9.4mm,Top,0
C20,-7.7mm,14.8mm,Top,0
C24,12.3mm,-4.6mm,Top,0
C25,7mm,-4.5mm,Top,0
C28,-18mm,-7.4mm,Top,0
C29,-15mm,-7.4mm,Top,0
D1,-0.5mm,-18.5mm,Top,0
D2,16.5mm,-19mm,Top,90
F1,9mm,-14.4975mm,Top,90
FB1,-12mm,-7.4mm,Top,0
J1,0mm,-23.7225mm,Top,0
J3,20mm,-2mm,Top,90
J4,-21mm,10mm,Top,90
MK1,-19mm,-9.963mm,Top,0
R1,-5mm,-18.5mm,Top,0
R2,-10.5mm,-19mm,Top,0
R3,-1mm,-15.5mm,Top,0
R4,-1mm,-13.8mm,Top,0
R5,-9.8mm,7.2mm,Top,0
R6,-12mm,-4mm,Top,0
R7,-15mm,-3.5mm,Top,0
R8,-10.5mm,14.8mm,Top,0
R9,-1mm,-11.8mm,Top,0
R14,1.5mm,7.8mm,Top,0
R15,1.5mm,9.3mm,Top,0
SW1,17.3525mm,19.4455mm,Top,138
SW2,24.8401mm,9.7239mm,Top,111
SW3,-14.5mm,13mm,Top,0
SW4,-15mm,4.5mm,Top,0
U1,-6mm,2mm,Top,180
U2,-15mm,-1.5mm,Top,90
U3,11mm,-2mm,Top,0
U5,-6mm,-11.5mm,Top,90
Y1,-6mm,9.2mm,Top,0
