Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
"C1","16.5mm","-16mm","Top",0,"SMD_0603_1608Metric","10uF"
"C2","-7.3mm","-16.8mm","Top",0,"SMD_0805_2012Metric","10uF"
"C3","-4.2mm","-16.8mm","Top",0,"SMD_0805_2012Metric","10uF"
"C4","-0.5mm","3mm","Top",90,"SMD_0603_1608Metric","100nF"
"C5","-0.5mm","0mm","Top",90,"SMD_0603_1608Metric","100nF"
"C6","-2.3mm","6.9mm","Top",0,"SMD_0603_1608Metric","100nF"
"C7","-11.5mm","3mm","Top",90,"SMD_0603_1608Metric","100nF"
"C8","-11.5mm","0mm","Top",90,"SMD_0603_1608Metric","100nF"
"C9","-3.4mm","-5mm","Top",0,"SMD_0603_1608Metric","100nF"
"C10","-6.2mm","-5mm","Top",0,"SMD_0603_1608Metric","100nF"
"C11","-6.45mm","6.95mm","Top",90,"SMD_0402_1005Metric","100nF"
"C12","-1.7mm","9mm","Top",0,"SMD_0603_1608Metric","27pF"
"C13","-9mm","-3.2mm","Top",0,"SMD_0603_1608Metric","1uF"
"C14","-6.2mm","-3.2mm","Top",0,"SMD_0603_1608Metric","1uF"
"C15","-3.4mm","-3.2mm","Top",0,"SMD_0603_1608Metric","100nF"
"C16","-9mm","-5mm","Top",0,"SMD_0603_1608Metric","100nF"
"C17","-18mm","-1.5mm","Top",90,"SMD_0603_1608Metric","100nF"
"C18","-10.2mm","9.4mm","Top",0,"SMD_0603_1608Metric","27pF"
"C20","-7.7mm","14.8mm","Top",0,"SMD_0603_1608Metric","100nF"
"C24","12.3mm","-4.6mm","Top",0,"SMD_0603_1608Metric","100nF"
"C25","7mm","-4.5mm","Top",0,"SMD_0603_1608Metric","10uF"
"C28","-18mm","-7.4mm","Top",0,"SMD_0603_1608Metric","100nF"
"C29","-15mm","-7.4mm","Top",0,"SMD_0603_1608Metric","47pF"
"D1","-0.5mm","-18.5mm","Top",0,"",""
"D2","16.5mm","-19mm","Top",90,"SOD-123FL_L2.8-W1.8-LS3.6-RD",""
"F1","9mm","-14.4975mm","Top",90,"",""
"FB1","-12mm","-7.4mm","Top",0,"",""
"J1","0mm","-23.7225mm","Top",0,"",""
"J3","20mm","-2mm","Top",90,"CONN-TH_S2B-PH-K-S-LF-SN",""
"J4","-21mm","10mm","Top",90,"",""
"MK1","-19mm","-9.963mm","Top",0,"",""
"R1","-5mm","-18.5mm","Top",0,"SMD_0603_1608Metric","5.1kΩ"
"R2","-10.5mm","-19mm","Top",0,"SMD_0603_1608Metric","5.1kΩ"
"R3","-1mm","-15.5mm","Top",0,"SMD_0603_1608Metric","27Ω"
"R4","-1mm","-13.8mm","Top",0,"SMD_0603_1608Metric","27Ω"
"R5","-9.8mm","7.2mm","Top",0,"SMD_0603_1608Metric","1kΩ"
"R6","-12mm","-4mm","Top",0,"SMD_0603_1608Metric","1kΩ"
"R7","-15mm","-3.5mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R8","-10.5mm","14.8mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R9","-1mm","-11.8mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R14","1.5mm","7.8mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"R15","1.5mm","9.3mm","Top",0,"SMD_0603_1608Metric","10kΩ"
"SW1","17.3525mm","19.4455mm","Top",138,"",""
"SW2","24.8401mm","9.7239mm","Top",111,"",""
"SW3","-14.5mm","13mm","Top",0,"SW-SMD_L3.9-W3.0-P4.45",""
"SW4","-15mm","4.5mm","Top",0,"SW-SMD_L3.9-W3.0-P4.45",""
"U1","-6mm","2mm","Top",180,"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",""
"U2","-15mm","-1.5mm","Top",90,"USON-8_L3.0-W2.0-P0.50-BL-EP",""
"U3","11mm","-2mm","Top",0,"",""
"U5","-6mm","-11.5mm","Top",90,"SOT-223",""
"Y1","-6mm","9.2mm","Top",0,"",""
